date,部门,详情链接,标题,下载链接,附件名,下载次数
2023-05-30,【实践科】,https://jwch.fzu.edu.cn/info/1039/12803.htm,关于公布福州大学第九届桥梁设计大赛获奖名单的通知,,,
2023-05-30,【实践科】,https://jwch.fzu.edu.cn/info/1039/12802.htm,关于公布福州大学第十三届大学生节能减排社会实践与科技竞赛暨第九届材料创新、设计及应用竞赛获奖名单的通知,,,
2023-05-30,【实践科】,https://jwch.fzu.edu.cn/info/1039/12801.htm,关于公布福州大学第三届大学生先进成图技术与产品信息建模创新大赛获奖名单的通知,,,
2023-05-26,【注册中心】,https://jwch.fzu.edu.cn/info/1036/12798.htm,关于2022-2023学年第二学期《思想道德与法治》课程期末考试安排的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12991703,2202 思想道德与法治 随堂考安排.xlsx,318
2023-05-26,【注册中心】,https://jwch.fzu.edu.cn/info/1036/12797.htm,关于2022-2023学年第二学期《毛泽东思想和中国特色社会主义理论体系概论》课程期末考试安排的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12991684,2202 毛泽东思想概论 随堂考安排.xlsx,376
2023-05-26,【注册中心】,https://jwch.fzu.edu.cn/info/1036/12796.htm,关于2022-2023学年第二学期《马克思主义基本原理》课程期末考试安排的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12991629,2202 马克思主义基本原理 随堂考安排.xlsx,337
2023-05-26,【注册中心】,https://jwch.fzu.edu.cn/info/1036/12794.htm,关于2022-2023学年第二学期《高等数学A（中）、B（下）、C（下）》课程期末考试安排的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12991590,"2202高等数学A(中）、C（下）期末考试安排 6.11上午第二场.xlsx
2202高等数学B（下）期末考试安排 6.11上午第一场.xlsx","304
379"
2023-05-24,【注册中心】,https://jwch.fzu.edu.cn/info/1036/12783.htm,关于2022-2023学年第二学期《线性代数》、《线性代数与解析几何》课程期末考试安排的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12991045,2202线性代数期末考试6.4下午.xlsx,290
2023-05-22,【教研教改】,https://jwch.fzu.edu.cn/info/1037/12779.htm,福州大学关于开展第七届远志创业实验班招生工作的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12990685,"附件1：福州大学第七届远志创业实验班招生简章.docx
附件2：远志创业实验班修读申请表.docx","614
266"
2023-05-22,【质量办】,https://jwch.fzu.edu.cn/info/1040/12778.htm,关于举办福州大学第四十二场“教学有道”研讨活动的通知,,,
2023-05-22,【综合科】,https://jwch.fzu.edu.cn/info/1035/12776.htm,关于2022-2023学年第二学期再次开放本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,,,
2023-05-18,【实践科】,https://jwch.fzu.edu.cn/info/1039/12775.htm,关于做好第二十七期、二十八期本科生科研训练计划项目结题工作的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12989484,srtp项目结题附件.zip,1521
2023-05-18,【实践科】,https://jwch.fzu.edu.cn/info/1039/12774.htm,关于做好国家、省级大学生创新创业训练计划项目结题工作的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12989479,国创省创结题附件.zip,662
2023-05-18,【教材中心】,https://jwch.fzu.edu.cn/info/1042/12773.htm,关于做好2023-2024学年第一学期教材选用及征订工作的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12989268,"附件1：教育部公示马工程重点教材目录-115种-.xlsx
附件2：全国大中专教学用书目录(2023秋).xlsx","341
331"
2023-05-17,【注册中心】,https://jwch.fzu.edu.cn/info/1036/12771.htm,关于2022-2023学年第二学期《近现代史纲要》课程期末考试安排的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12283327,2202近现代史纲要期末考试.xlsx,423
2023-05-17,【教研教改】,https://jwch.fzu.edu.cn/info/1037/12770.htm,福州大学关于公布2021级数理综合班专业分流学生名单及学科导师名单的通知,,,
2023-05-17,【实践科】,https://jwch.fzu.edu.cn/info/1039/12769.htm,关于公布福州大学第七届网络信息安全竞赛获奖名单的通知,,,
2023-05-16,【质量办】,https://jwch.fzu.edu.cn/info/1040/12768.htm,关于举办福州大学第四十一场“教学有道”研讨活动的通知,,,
